benchmark,model,compression_ratio,total_energy_j,avg_energy_j,std_energy_j,n_trials,total_cost,avg_cost,std_cost,avg_quality,std_quality,pass_rate,avg_latency_ms,std_latency_ms,avg_input_original,avg_input_compressed,avg_output_tokens,std_output_tokens,avg_inference_ms,std_inference_ms,cost_per_joule,cost_per_kwh,eqer,eqer_per_mj,carbon_kg_co2,total_carbon_kg_co2,quality_per_kg_co2,cost_1m_calls_usd,energy_1m_calls_kwh,carbon_1m_calls_kg,latency_1m_calls_hours
gsm8k,deepseek-chat,0.3,9.94122,0.2485305,0.12654738891328116,40,0.00773206,0.0001933015,9.842574693255199e-05,0.0,0.0,0.0,20516.875,9832.228386040288,34.6,11.875,684.425,352.5114937205995,20516.875,9832.228386040288,0.0007777777777777778,2800.0000000000005,0.0,0.0,2.76145e-08,1.10458e-06,0.0,193.3015,0.06903625,0.0276145,5699.131944444444
gsm8k,deepseek-chat,0.5,7.82676,0.18635142857142858,0.10857395745266815,42,0.00608748,0.00014494,8.444641135207524e-05,0.047619047619047616,0.21554026870452114,0.047619047619047616,15469.380952380952,8306.840428232394,34.285714285714285,17.857142857142858,508.7142857142857,302.56426736893724,15469.380952380952,8306.840428232394,0.0007777777777777777,2800.0,0.2555335796677041,255533.57966770412,2.070571428571429e-08,8.6964e-07,2299802.2170093367,144.94,0.051764285714285714,0.020705714285714286,4297.050264550265
gsm8k,deepseek-chat,0.7,9.13356,0.21746571428571426,0.11529460227127714,42,0.00710388,0.00016914,8.967357954432667e-05,0.10714285714285714,0.30314840376263363,0.09523809523809523,18129.166666666668,9746.192912548873,34.285714285714285,24.571428571428573,591.7857142857143,322.62184582060905,18129.166666666668,9746.192912548873,0.0007777777777777778,2800.0000000000005,0.49268850262110286,492688.50262110285,2.416285714285714e-08,1.01484e-06,4434196.523589926,169.14,0.06040714285714285,0.02416285714285714,5035.87962962963
gsm8k,deepseek-chat,1.0,1.17846,0.02805857142857143,0.015585577694001242,42,0.00091658,2.182333333333333e-05,1.2122115984223192e-05,1.0,0.0,1.0,2869.190476190476,1104.8736212488172,34.285714285714285,36.07142857142857,59.904761904761905,36.32697682251964,2869.190476190476,1104.8736212488172,0.0007777777777777777,2800.0,35.63973321113996,35639733.21113996,3.117619047619048e-09,1.3094e-07,320757598.9002596,21.82333333333333,0.007794047619047619,0.003117619047619048,796.9973544973544
gsm8k,gpt-4o-mini,0.3,0.24111,0.005740714285714286,0.0018000587969491072,42,0.00071055,1.6917857142857143e-05,5.451234156844907e-06,0.0,0.0,0.0,867.952380952381,239.2852112255706,34.285714285714285,14.785714285714286,24.5,8.264676524146633,867.952380952381,239.2852112255706,0.002946995147443076,10609.182530795073,0.0,0.0,6.378571428571428e-10,2.6790000000000004e-08,0.0,16.917857142857144,0.001594642857142857,0.0006378571428571428,241.09788359788362
gsm8k,gpt-4o-mini,0.5,0.27882,0.006638571428571429,0.0062647735915442385,42,0.000798,1.9e-05,1.9776639952349795e-05,0.0,0.0,0.0,958.6904761904761,558.7408094118477,34.285714285714285,20.857142857142858,26.452380952380953,31.133232484348717,958.6904761904761,558.7408094118477,0.0028620615450828495,10303.421562298257,0.0,0.0,7.376190476190477e-10,3.0980000000000003e-08,0.0,19.0,0.001844047619047619,0.0007376190476190477,266.30291005291
gsm8k,gpt-4o-mini,0.7,0.49734,0.011841428571428572,0.011662862797834624,42,0.0014841,3.533571428571428e-05,3.7452909108597484e-05,0.07142857142857142,0.26066118021500656,0.07142857142857142,1336.357142857143,1127.5794671347262,34.285714285714285,27.571428571428573,52.0,60.06297508124082,1336.357142857143,1127.5794671347262,0.002984075280492218,10742.671009771984,6.032090722644468,6032090.722644468,1.315714285714286e-09,5.5260000000000006e-08,54288816.503800206,35.33571428571428,0.0032892857142857146,0.001315714285714286,371.21031746031747
gsm8k,gpt-4o-mini,1.0,0.68571,0.01632642857142857,0.012310654283384676,42,0.0020395500000000002,4.856071428571429e-05,3.8904988293424513e-05,1.0,0.0,1.0,1809.9285714285713,1428.2301753561676,34.285714285714285,39.07142857142857,71.16666666666667,61.297322850332435,1809.9285714285713,1428.2301753561676,0.002974362339764624,10707.704423152647,61.25038281489259,61250382.81489259,1.8140476190476193e-09,7.619000000000001e-08,551253445.3340333,48.56071428571429,0.004535119047619048,0.0018140476190476194,502.75793650793645
humaneval,deepseek-chat,0.3,24.02712,0.04883560975609756,0.030176278922476076,492,0.01868776,3.798325203252033e-05,2.347043916192583e-05,0.41209349593495936,0.1373338188457289,0.012195121951219513,4729.315040650406,2188.7077924544697,33.18292682926829,9.329268292682928,130.989837398374,83.81247797756185,4729.315040650406,2188.7077924544697,0.0007777777777777778,2800.0000000000005,8.43838129580241,8438381.29580241,5.426178861788618e-09,2.6696800000000003e-06,75945431.66222169,37.983252032520326,0.013565447154471545,0.005426178861788618,1313.6986224028908
humaneval,deepseek-chat,0.5,40.59972,0.08251975609756097,0.0388161537952917,492,0.03157756,6.41820325203252e-05,3.0190341840782437e-05,0.4994918699186992,0.04067588264162818,0.0040650406504065045,7074.634146341464,2935.258879330593,33.18292682926829,13.487804878048781,222.47764227642276,108.08926267126067,7074.634146341464,2935.258879330593,0.0007777777777777777,2800.0,6.0529974098343535,6052997.409834353,9.168861788617887e-09,4.511079999999999e-06,54476976.68850918,64.1820325203252,0.022922154471544713,0.009168861788617885,1965.1761517615178
humaneval,deepseek-chat,0.7,15.394499999999999,0.03128963414634146,0.01281338400430761,492,0.0119735,2.4336382113821137e-05,9.965965336683689e-06,0.505589430894309,0.056133552288690436,0.012195121951219513,3286.5548780487807,1064.0137201065288,33.18292682926829,19.603658536585368,77.11382113821138,35.17815079438,3286.5548780487807,1064.0137201065288,0.0007777777777777777,2800.0,16.158368248400404,16158368.248400403,3.4766260162601625e-09,1.7105e-06,145425314.23560363,24.336382113821138,0.008691565040650407,0.003476626016260163,912.9319105691056
humaneval,deepseek-chat,1.0,7.2017999999999995,0.01463780487804878,0.008659016471346828,492,0.0056014,1.1384959349593496e-05,6.734790588825305e-06,1.0,0.0,1.0,1861.5853658536585,534.054699851114,33.18292682926829,31.29268292682927,25.014227642276424,18.281622459969128,1861.5853658536585,534.054699851114,0.0007777777777777777,2800.0,68.31625426976589,68316254.2697659,1.6264227642276423e-09,8.002e-07,614846288.427893,11.384959349593496,0.0040660569105691055,0.0016264227642276423,517.1070460704607
humaneval,gpt-4o-mini,0.3,3.15873,0.006420182926829268,0.0024330078622380124,492,0.00962055,1.9553963414634146e-05,7.763227955685563e-06,0.2530487804878049,0.02746695215766678,0.0,1041.9674796747968,378.23540735921733,33.18292682926829,12.310975609756097,29.51219512195122,12.375236987116981,1041.9674796747968,378.23540735921733,0.003045701911844317,10964.526882639542,39.41457484495351,39414574.844953515,7.133536585365853e-10,3.5096999999999997e-07,354731173.6045816,19.553963414634147,0.0017833841463414633,0.0007133536585365854,289.4354110207769
humaneval,gpt-4o-mini,0.5,2.43981,0.0049893865030674845,0.002141122740541364,489,0.00692445,1.4160429447852762e-05,6.548085349277768e-06,0.25255623721881393,0.025175804131771378,0.0,883.6503067484663,405.06845505879255,33.190184049079754,16.47239263803681,19.482617586912067,9.951326446872857,883.6503067484663,405.06845505879255,0.002838110344657986,10217.19724076875,50.6186957181092,50618695.7181092,5.543762781186094e-10,2.7109000000000003e-07,455568261.46298283,14.160429447852762,0.0013859406952965235,0.0005543762781186094,245.45841854124063
humaneval,gpt-4o-mini,0.7,2.46528,0.005041472392638037,0.0020711538222658085,489,0.0065607,1.3416564417177914e-05,6.18966878338361e-06,0.5480572597137015,0.14752503536304915,0.09611451942740286,832.5685071574642,358.75314574222045,33.190184049079754,22.588957055214724,16.713701431492844,9.170506694486681,832.5685071574642,358.75314574222045,0.0026612392912772585,9580.461448598131,108.7097611630322,108709761.1630322,5.601635991820042e-10,2.7392e-07,978387850.4672897,13.416564417177915,0.0014004089979550102,0.0005601635991820041,231.26902976596227
humaneval,gpt-4o-mini,1.0,3.41037,0.006945763747454175,0.0026668235284371435,491,0.00891885,1.8164663951120165e-05,7.414494136838199e-06,0.9775967413441955,0.12374730798792133,0.9674134419551935,928.1384928716905,432.5359972809736,33.18533604887984,33.25254582484725,21.96130346232179,10.091647866670012,928.1384928716905,432.5359972809736,0.0026152147714177646,9414.773177103953,140.74719165369154,140747191.65369153,7.717515274949083e-10,3.7893e-07,1266724724.883224,18.164663951120165,0.0019293788187372707,0.0007717515274949083,257.81624801991404
mbpp,deepseek-chat,0.3,553.69908,0.36913271999999997,0.019236442894284875,1500,0.43065484,0.00028710322666666664,1.4961677806666011e-05,0.293,0.09437657526441125,0.0,30134.675333333333,2792.405982190116,30.058,10.016,1020.3606666666667,53.554458011175946,30134.675333333333,2792.405982190116,0.0007777777777777777,2800.0,0.7937524476291345,793752.4476291345,4.1014746666666663e-08,6.152211999999999e-05,7143772.028662211,287.1032266666666,0.10253686666666666,0.041014746666666664,8370.743148148147
mbpp,deepseek-chat,0.5,175.57488,0.11704992,0.04982639001929771,1500,0.13655824,9.103882666666667e-05,3.8753858903898206e-05,0.49516666666666664,0.034434905702054146,0.0,10450.102,4092.3169244495343,30.058,15.032,317.62266666666665,138.420158863544,10450.102,4092.3169244495343,0.0007777777777777778,2800.0000000000005,4.230388766320102,4230388.766320102,1.3005546666666666e-08,1.9508320000000002e-05,38073498.89688092,91.03882666666667,0.03251386666666667,0.013005546666666668,2902.806111111111
mbpp,deepseek-chat,0.7,69.22908,0.046152719999999994,0.020343543740366628,1500,0.05384484,3.589656e-05,1.5822756242507386e-05,0.5,0.0,0.0,4586.6033333333335,1627.418409560186,30.058,21.032,117.686,56.479926157049825,4586.6033333333335,1627.418409560186,0.000777777777777778,2800.0000000000005,10.833597673116559,10833597.67311656,5.12808e-09,7.69212e-06,97502379.05804901,35.89656,0.012820199999999999,0.00512808,1274.0564814814813
mbpp,deepseek-chat,1.0,17.88624,0.011924160000000001,0.0035330565171395505,1500,0.01391152,9.274346666666667e-06,2.7479328466640915e-06,0.5016666666666667,0.02882897203580658,0.0033333333333333335,1756.712,363.03985779557604,30.058,30.044,18.100666666666665,9.468102389820874,1756.712,363.03985779557604,0.0007777777777777777,2800.0,42.071447101235364,42071447.10123537,1.3249066666666668e-09,1.9873600000000004e-06,378643023.91111827,9.274346666666668,0.003312266666666667,0.001324906666666667,487.97555555555556
mbpp,gpt-4o-mini,0.3,13.05738,0.00870492,0.0031382673576787826,1500,0.040596,2.7064e-05,1.0462855963037489e-05,0.25016666666666665,0.006454972243679035,0.0,1203.3706666666667,467.3487054450993,30.058,13.016,41.852666666666664,17.441610191328866,1203.3706666666667,467.3487054450993,0.0031090463783699333,11192.56696213176,28.73853713378947,28738537.133789472,9.672133333333333e-10,1.45082e-06,258646834.20410526,27.064,0.002418033333333333,0.0009672133333333333,334.26962962962966
