model,benchmark,compression_ratio,avg_quality,pass_rate,cost_1m_calls_usd,energy_1m_calls_kwh,carbon_1m_calls_kg,latency_1m_calls_hours
deepseek-chat,mbpp,1.0,0.5016666666666667,0.0033333333333333335,9.274346666666668,0.003312266666666667,0.001324906666666667,487.97555555555556
deepseek-chat,humaneval,1.0,1.0,1.0,11.384959349593496,0.0040660569105691055,0.0016264227642276423,517.1070460704607
gpt-4o-mini,humaneval,0.7,0.5480572597137015,0.09611451942740286,13.416564417177915,0.0014004089979550102,0.0005601635991820041,231.26902976596227
gpt-4o-mini,mbpp,0.5,0.25233333333333335,0.0,13.438,0.0013452333333333333,0.0005380933333333334,217.37851851851855
gpt-4o-mini,humaneval,0.5,0.25255623721881393,0.0,14.160429447852762,0.0013859406952965235,0.0005543762781186094,245.45841854124063
gpt-4o-mini,mbpp,1.0,0.5,0.0,15.9898,0.001745533333333333,0.0006982133333333332,224.9114814814815
gpt-4o-mini,gsm8k,0.3,0.0,0.0,16.917857142857144,0.001594642857142857,0.0006378571428571428,241.09788359788362
gpt-4o-mini,humaneval,1.0,0.9775967413441955,0.9674134419551935,18.164663951120165,0.0019293788187372707,0.0007717515274949083,257.81624801991404
gpt-4o-mini,gsm8k,0.5,0.0,0.0,19.0,0.001844047619047619,0.0007376190476190477,266.30291005291
gpt-4o-mini,humaneval,0.3,0.2530487804878049,0.0,19.553963414634147,0.0017833841463414633,0.0007133536585365854,289.4354110207769
gpt-4o-mini,mbpp,0.7,0.49966666666666665,0.0,20.5712,0.0020146666666666668,0.0008058666666666668,273.5090740740741
deepseek-chat,gsm8k,1.0,1.0,1.0,21.82333333333333,0.007794047619047619,0.003117619047619048,796.9973544973544
deepseek-chat,humaneval,0.7,0.505589430894309,0.012195121951219513,24.336382113821138,0.008691565040650407,0.003476626016260163,912.9319105691056
gpt-4o-mini,mbpp,0.3,0.25016666666666665,0.0,27.064,0.002418033333333333,0.0009672133333333333,334.26962962962966
gpt-4o-mini,gsm8k,0.7,0.07142857142857142,0.07142857142857142,35.33571428571428,0.0032892857142857146,0.001315714285714286,371.21031746031747
deepseek-chat,mbpp,0.7,0.5,0.0,35.89656,0.012820199999999999,0.00512808,1274.0564814814813
deepseek-chat,humaneval,0.3,0.41209349593495936,0.012195121951219513,37.983252032520326,0.013565447154471545,0.005426178861788618,1313.6986224028908
gpt-4o-mini,gsm8k,1.0,1.0,1.0,48.56071428571429,0.004535119047619048,0.0018140476190476194,502.75793650793645
deepseek-chat,humaneval,0.5,0.4994918699186992,0.0040650406504065045,64.1820325203252,0.022922154471544713,0.009168861788617885,1965.1761517615178
deepseek-chat,mbpp,0.5,0.49516666666666664,0.0,91.03882666666667,0.03251386666666667,0.013005546666666668,2902.806111111111
deepseek-chat,gsm8k,0.5,0.047619047619047616,0.047619047619047616,144.94,0.051764285714285714,0.020705714285714286,4297.050264550265
deepseek-chat,gsm8k,0.7,0.10714285714285714,0.09523809523809523,169.14,0.06040714285714285,0.02416285714285714,5035.87962962963
deepseek-chat,gsm8k,0.3,0.0,0.0,193.3015,0.06903625,0.0276145,5699.131944444444
deepseek-chat,mbpp,0.3,0.293,0.0,287.1032266666666,0.10253686666666666,0.041014746666666664,8370.743148148147
