model,ratio,success_status,n,mean,median,std,min,max,q25,q75,q95,q99
GPT-4o-mini,1.0,all,2034,20.331858407079647,18.0,14.890434336002967,0,298,17.0,22.0,23.0,59.340000000000146
GPT-4o-mini,1.0,success,517,25.35009671179884,23.0,22.234725289770477,15,298,23.0,23.0,45.0,100.83999999999935
GPT-4o-mini,1.0,failure,1517,18.62162162162162,17.0,10.842139365593964,0,219,17.0,18.0,22.0,22.0
GPT-4o-mini,0.7,all,2034,25.94542772861357,28.0,15.451858540482412,0,270,16.0,29.0,41.0,63.01000000000022
GPT-4o-mini,0.7,success,50,24.3,15.0,35.4937476529174,15,211,15.0,15.0,72.64999999999976,
GPT-4o-mini,0.7,failure,1984,25.986895161290324,28.0,14.614385442533385,0,270,17.0,29.0,41.0,60.0
GPT-4o-mini,0.5,all,2034,18.422320550639135,17.0,8.66869084734753,0,155,15.0,19.0,26.0,42.67000000000007
GPT-4o-mini,0.5,failure,2034,18.422320550639135,17.0,8.66869084734753,0,155,15.0,19.0,26.0,42.67000000000007
GPT-4o-mini,0.3,all,2034,38.50934119960669,38.0,17.162776765563844,15,480,28.0,46.0,61.0,76.0
GPT-4o-mini,0.3,failure,2034,38.50934119960669,38.0,17.162776765563844,15,480,28.0,46.0,61.0,76.0
DeepSeek-chat,1.0,all,2034,20.636184857423796,18.0,14.651598691530408,16,243,17.0,23.0,23.0,50.0
DeepSeek-chat,1.0,success,539,27.749536178107608,23.0,22.223400515079014,16,212,23.0,23.0,47.0,168.48000000000002
DeepSeek-chat,1.0,failure,1495,18.071571906354514,18.0,9.456776248033371,17,243,17.0,18.0,18.0,18.0
DeepSeek-chat,0.7,all,2034,117.66175024582104,125.5,98.95449346922886,23,1024,61.0,135.0,238.3499999999999,500.0500000000011
DeepSeek-chat,0.7,success,10,240.7,165.5,278.5270982228559,89,1024,129.25,192.75,,
DeepSeek-chat,0.7,failure,2024,117.05385375494072,123.5,97.0570183940635,23,1024,61.0,135.0,238.0,481.94999999999936
DeepSeek-chat,0.5,all,2034,298.5540806293019,265.0,146.20776165340322,20,1024,194.0,370.0,560.0,788.3700000000008
DeepSeek-chat,0.5,success,4,226.0,182.0,159.35285793901951,87,453,138.0,270.0,,
DeepSeek-chat,0.5,failure,2030,298.6970443349754,265.0,146.1879207480217,20,1024,194.0,370.0,560.0,788.8100000000004
DeepSeek-chat,0.3,all,2032,798.4079724409448,1024.0,388.26248614074,41,1024,494.0,1024.0,1024.0,1024.0
DeepSeek-chat,0.3,success,6,118.0,117.5,55.87843949145323,67,171,67.0,168.0,,
DeepSeek-chat,0.3,failure,2026,800.4230009871668,1024.0,387.05416629778205,41,1024,580.25,1024.0,1024.0,1024.0
